title,price_gbp,star_rating,availability,category,rating,in_stock,price_inr
Lilac Girls,17.28,Two,In stock,Historical Fiction,2,True,1823.0400000000002
The Constant Princess (The Tudor Court #1),16.62,Three,In stock,Historical Fiction,3,True,1753.41
The Invention of Wings,37.34,One,In stock,Historical Fiction,1,True,3939.3700000000003
World Without End (The Pillars of the Earth #2),32.97,Four,In stock,Historical Fiction,4,True,3478.335
The Passion of Dolssa,28.32,Five,In stock,Historical Fiction,5,True,2987.76
Girl With a Pearl Earring,26.77,One,In stock,Historical Fiction,1,True,2824.235
Voyager (Outlander #3),21.07,Five,In stock,Historical Fiction,5,True,2222.885
The Red Tent,35.66,Five,In stock,Historical Fiction,5,True,3762.1299999999997
The Last Painting of Sara de Vos,55.55,Two,In stock,Historical Fiction,2,True,5860.525
The Guernsey Literary and Potato Peel Pie Society,49.53,One,In stock,Historical Fiction,1,True,5225.415
Girl in the Blue Coat,46.83,Two,In stock,Historical Fiction,2,True,4940.565
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,Sequential Art,5,True,5516.595
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,In stock,Sequential Art,1,True,1717.5400000000002
This One Summer,19.49,Four,In stock,Sequential Art,4,True,2056.1949999999997
The Nameless City (The Nameless City #1),38.16,Four,In stock,Sequential Art,4,True,4025.8799999999997
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,In stock,Sequential Art,2,True,5384.72
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,In stock,Sequential Art,3,True,5317.2
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,In stock,Sequential Art,5,True,1435.855
"Pop Gun War, Volume 1: Gift",18.97,One,In stock,Sequential Art,1,True,2001.3349999999998
Patience,10.16,Three,In stock,Sequential Art,3,True,1071.88
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,In stock,Sequential Art,4,True,1628.9199999999998
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,In stock,Sequential Art,1,True,5107.254999999999
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,In stock,Sequential Art,2,True,4949.004999999999
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,In stock,Sequential Art,3,True,4811.855
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,In stock,Sequential Art,2,True,2101.5600000000004
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,In stock,Sequential Art,2,True,3077.4350000000004
I am a Hero Omnibus Volume 1,54.63,Three,In stock,Sequential Art,3,True,5763.465
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,In stock,Sequential Art,2,True,2332.605
Danganronpa Volume 1,51.99,Four,In stock,Sequential Art,4,True,5484.945000000001
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,In stock,Sequential Art,4,True,3873.96
Camp Midnight,17.08,Four,In stock,Sequential Art,4,True,1801.9399999999998
The Secret Garden,15.08,Four,In stock,Classics,4,True,1590.94
The Metamorphosis,28.58,One,In stock,Classics,1,True,3015.1899999999996
The Pilgrim's Progress,50.26,Two,In stock,Classics,2,True,5302.429999999999
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,Two,In stock,Classics,2,True,1563.51
Little Women (Little Women #1),28.07,Four,In stock,Classics,4,True,2961.385
Gone with the Wind,32.49,Three,In stock,Classics,3,True,3427.695
Candide,58.63,Three,In stock,Classics,3,True,6185.465
Animal Farm,57.22,Three,In stock,Classics,3,True,6036.71
Wuthering Heights,17.73,Three,In stock,Classics,3,True,1870.515
The Picture of Dorian Gray,29.7,Two,In stock,Classics,2,True,3133.35
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,Four,In stock,Classics,4,True,2825.29
Beowulf,38.35,Two,In stock,Classics,2,True,4045.925
And Then There Were None,35.01,Two,In stock,Classics,2,True,3693.555
The Story of Hong Gildong,43.19,Four,In stock,Classics,4,True,4556.545
The Little Prince,45.42,Two,In stock,Classics,2,True,4791.81
Sense and Sensibility,37.46,One,In stock,Classics,1,True,3952.03
Of Mice and Men,47.11,Two,In stock,Classics,2,True,4970.105
Emma,32.93,Two,In stock,Classics,2,True,3474.115
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,One,In stock,Classics,1,True,5858.415
Sophie's World,15.94,Five,In stock,Philosophy,5,True,1681.6699999999998
The Death of Humanity: and the Case for Life,58.11,Four,In stock,Philosophy,4,True,6130.605
The Stranger,17.44,Four,In stock,Philosophy,4,True,1839.92
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,One,In stock,Philosophy,1,True,5719.155
Kierkegaard: A Christian Missionary to Christians,47.13,One,In stock,Philosophy,1,True,4972.215
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,Five,In stock,Philosophy,5,True,3157.615
Critique of Pure Reason,20.75,One,In stock,Philosophy,1,True,2189.125
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,One,In stock,Philosophy,1,True,2112.11
The Nicomachean Ethics,36.34,One,In stock,Philosophy,1,True,3833.8700000000003
Meditations,25.89,Two,In stock,Philosophy,2,True,2731.395
Beyond Good and Evil,43.38,One,In stock,Philosophy,1,True,4576.59
